point_id,Binding Energy (eV),Intensity (Counts),marker_type,confidence
1,5.793450881612091,140.88277858176556,peak,0.10588235294117647
2,5.793450881612091,132.41678726483357,peak,0.0784313725490196
3,5.793450881612091,123.29956584659912,peak,0.0784313725490196
4,5.793450881612091,114.18234442836469,peak,0.0784313725490196
5,5.793450881612091,107.67004341534009,peak,0.0784313725490196
6,9.571788413098236,140.88277858176556,peak,0.12156862745098039
7,9.571788413098236,132.41678726483357,peak,0.09019607843137255
8,9.571788413098236,123.29956584659912,peak,0.09411764705882353
9,9.571788413098236,114.18234442836469,peak,0.09803921568627451
10,9.571788413098236,107.67004341534009,peak,0.10196078431372549
11,12.090680100755668,140.88277858176556,peak,0.10980392156862745
12,12.090680100755668,132.41678726483357,peak,0.0784313725490196
13,12.090680100755668,123.29956584659912,peak,0.0784313725490196
14,12.090680100755668,114.18234442836469,peak,0.0784313725490196
15,12.090680100755668,107.67004341534009,peak,0.0784313725490196
16,14.105793450881613,140.88277858176556,peak,0.10980392156862745
17,14.105793450881613,132.41678726483357,peak,0.0784313725490196
18,14.105793450881613,123.29956584659912,peak,0.0784313725490196
19,14.105793450881613,114.18234442836469,peak,0.0784313725490196
20,14.105793450881613,107.67004341534009,peak,0.30980392156862746
21,17.716204869857265,140.88277858176556,peak,0.10196078431372549
22,17.716204869857265,132.41678726483357,peak,0.0784313725490196
23,17.716204869857265,123.29956584659912,peak,0.0784313725490196
24,17.716204869857265,114.18234442836469,peak,0.0784313725490196
25,17.716204869857265,107.67004341534009,peak,0.0784313725490196
